t_s,q_rad,dq_rad_s,current_a
7.039998308755457e-07,0.0,0.0,0.07
0.01006034300007741,0.0,0.0,-0.05
0.022687415000291367,0.0,-0.2991993003418851,0.0
0.03281796999999642,0.0,-0.2991993003418851,-0.03
0.04292301999976189,0.0,0.0,-0.09
0.05300896400058264,0.0,0.0,-0.03
0.06312419100049738,0.0,0.0,-0.02
0.07321071099977416,0.0,0.0,-0.02
0.08329745599985472,0.0,0.0,-0.07
0.09339716100021178,0.0,0.0,-0.03
0.11006220800027222,0.0,0.0,-0.13
0.12016527400010091,0.0,0.0,-0.04
0.1302627710001616,0.0,0.0,-0.12
0.14044555300006323,0.0,0.0,-0.07
0.15054538599997613,0.0,-0.07479982508547127,-0.06
0.16064214700054436,0.0,0.0,-0.02
0.1707416609997381,0.0,0.0,-0.07
0.18164809700010665,0.0,0.0,-0.05
0.1940857830004461,0.0,0.0,0.0
0.20418545600023208,0.0,0.0,-0.09
0.21428151300005993,0.0,0.0,-0.06
0.22437990700018418,0.0,0.0,-0.08
0.23447334000047704,0.0,0.0,-0.07
0.244614934999845,0.0,0.0,-0.06
0.2547200810004142,0.0,0.0,-0.06
0.26481873000011547,0.0,0.0,-0.06
0.2749150750005356,0.0,0.0,-0.03
0.2850100129999191,0.0,0.0,-0.01
0.29508888500004105,0.0,0.0,-0.06
0.3051699010002267,0.0,0.0,-0.03
0.3152553979998629,0.0,0.0,-0.05
0.32535625499986054,0.0,0.0,-0.04
0.3354558970004291,0.0,0.0,-0.02
0.34552462400006334,0.0,0.0,-0.04
0.35558903200035274,0.0,0.0,-0.08
0.36566707200017845,0.0,0.0,-0.05
0.3757389040001726,0.0,0.0,-0.04
0.3858676350000678,0.0,0.0,-0.06
0.3968161210004837,0.0,0.0,-0.07
0.4069092019999516,0.0,0.0,-0.03
0.4170152759998018,0.0,-0.07479982508547127,-0.08
0.4271049330000096,0.0,0.0,-0.08
0.43720214200038754,0.0,0.0,-0.11
0.45410320199971466,0.0,0.0,-0.07
0.46421129100053804,0.0,0.0,-0.08
0.4742969480003012,0.0,0.0,-0.04
0.4843907650001711,0.0,0.0,-0.04
0.4946470869999757,0.0,0.0,-0.02
0.5047460559999308,0.0,0.0,-0.07
0.5148443529997166,0.0,0.0,-0.06
0.5249412749999465,0.0,0.0,-0.07
0.5350426760005575,0.0,0.0,0.0
0.5451359810003851,0.0,0.0,-0.07
0.5552277500000855,0.0,0.0,-0.07
0.5654510780004784,0.0,0.0,-0.06
0.5756845510004496,0.0,0.0,-0.05
0.5857860160003838,0.0,0.0,-0.06
0.5958938499998112,0.0,0.0,-0.04
0.6059964030000629,0.0,0.0,-0.01
0.6160871800002496,0.0,-0.07479982508547127,-0.1
0.6261761969999498,0.0,-0.07479982508547127,-0.06
0.6364547920002224,0.0,0.0,-0.06
0.6465501769998809,0.0,0.0,-0.05
0.6566798680005377,0.0,0.0,-0.01
0.6667732050000268,0.0,0.0,-0.02
0.6768518210001275,0.0,0.0,-0.06
0.6869502469999134,0.0,0.0,-0.01
0.6970578239997849,0.0,0.0,-0.04
0.7071377849997589,0.0,0.0,-0.07
0.7172134889997324,0.0,0.0,-0.07
0.7272908889999599,0.0,0.0,-0.07
0.7373788820004847,0.0,0.0,-0.01
0.7474670990004597,0.0,0.0,0.0
0.7575392819999252,0.0,0.0,-0.05
0.7676281390004078,0.0,0.0,-0.08
0.7777143080002134,0.0,0.0,-0.04
0.7877834840001015,0.0,0.0,-0.02
0.7978566600004342,0.0,0.0,-0.08
0.8079296759997305,0.0,0.0,-0.05
0.8180485180000687,0.0,0.0,-0.04
0.8281360940000013,0.0,0.0,-0.06
0.8383346199998414,0.0,0.0,-0.03
0.8486175019997972,0.0,0.0,-0.04
0.8587244709997321,0.0,0.0,-0.01
0.8687967830001071,0.0,0.0,-0.09
0.8788667260005241,0.0,0.0,-0.11
0.8889420129999053,0.0,0.0,-0.05
0.8990328859999863,0.0,0.0,-0.06
0.9091188620004687,0.0,0.0,-0.07
0.9192034620000413,0.0,0.0,-0.03
0.9292950059998475,0.0,0.0,-0.06
0.9393813340002453,0.0,0.0,-0.06
0.9494695820003471,0.0,0.0,-0.08
0.9595554620000257,0.0,0.0,-0.13
0.9696381100002327,0.0,0.0,-0.05
0.979727830000229,0.0,0.0,-0.05
0.989829775000544,0.0,0.0,-0.07
0.9999057670002003,0.0,0.0,-0.08
1.0100555859999076,0.0,0.0,-0.13
1.0201507460005814,0.0,0.0,-0.03
1.0302326259998154,0.0,0.0,-0.14
1.040333482999813,0.0,0.0,-0.04
1.0504179230001682,0.0,0.0,-0.02
1.0605256919998283,0.0,0.0,-0.1
1.0706094280003526,0.0,0.0,-0.04
1.080693388000327,0.0,0.0,-0.08
1.090789988999859,0.0,0.0,-0.05
1.1037913520003713,0.0,0.0,-0.04
1.1138866080000298,0.0,0.0,-0.04
1.123951974999727,0.0,0.0,-0.01
1.1340537920004863,0.0,0.0,-0.03
1.144139351999911,0.0,0.0,-0.01
1.1542270879999705,0.0,0.0,-0.02
1.1643742510004813,0.0,-0.07479982508547127,-0.05
1.1744671080004991,0.0,0.07479982508547127,-0.09
1.184556316000453,0.0,0.0,-0.03
1.1946449160004704,0.0,0.0,-0.07
1.2047218679999787,0.0,0.0,-0.01
1.214794530999825,0.0,0.0,-0.02
1.2248731790004967,0.0,0.0,-0.08
1.2349557939996885,0.0,0.0,0.0
1.2450458350003828,0.0,0.0,-0.02
1.2551349149998714,0.0,-0.07479982508547127,0.0
1.2652225869996983,0.0,0.07479982508547127,-0.03
1.2753060350005399,0.0,0.0,-0.04
1.2853962350000074,0.0,0.0,-0.1
1.2954881960004059,0.0,0.0,-0.03
1.3055790999997043,0.0,0.0,-0.03
1.3156696519999969,0.0,0.0,0.0
1.3257483320003303,0.0,0.0,-0.11
1.3358345320002627,0.0,0.0,-0.05
1.3459127630003422,0.0,0.0,-0.06
1.3560088840004028,0.0,0.0,-0.09
1.3660557860002882,0.0,0.0,-0.02
1.3761319049999656,0.0,0.0,-0.04
1.3862070650002352,0.0,0.0,-0.08
1.3962700960000802,0.0,0.0,-0.09
1.4063700880005854,0.0,0.0,-0.03
1.4164464960003897,0.0,0.0,-0.06
1.4265392560000691,0.0,0.0,0.0
1.4366192799998316,0.0,0.0,-0.05
1.4466815750001842,0.0,0.0,-0.03
1.4567603189998408,0.0,0.0,-0.04
1.466829238000173,0.0,0.0,-0.1
1.4769097730004432,0.0,0.0,-0.05
1.4869803250003315,0.0,0.0,-0.02
1.497060059999967,0.0,0.0,-0.04
1.5071291390004262,0.0,0.0,-0.07
1.517211915000189,0.0,0.0,-0.02
1.5272854109998661,0.0,0.0,-0.05
1.5373869080003715,0.0,0.0,-0.07
1.5474796039998182,0.0,0.0,-0.07
